DateTime,DistrictCoolingFacility,DistrictHeatingFacility,DrybulbTemperatureHourly,ElectricityFacility,ZONE10OperativeTemperature,ZONE1OperativeTemperature,ZONE2OperativeTemperature,ZONE3OperativeTemperature,ZONE4OperativeTemperature,ZONE5OperativeTemperature,ZONE6OperativeTemperature,ZONE7OperativeTemperature,ZONE8OperativeTemperature
1546516800,0,9668099.273,7.260802469,56613.73109,19.43256429,19.08469976,14.03867578,18.86438746,19.32517072,18.06554238,19.80105638,18.85116311,24.18302398
1546520400,0,8403909.046,7.336419753,56613.73109,19.50704796,19.15610027,14.04728689,18.96364195,19.35326122,18.0245122,19.74405281,18.94002654,23.16789113
1546524000,0,0,7.020061728,56613.73109,18.57108002,17.97345145,14.02836822,17.63091804,18.38805069,17.97319628,18.9772854,17.53699117,22.72789518
1546527600,0,0,6.495756173,56613.73109,18.21956496,17.59824239,13.99845247,17.30809478,18.17194791,17.90892344,18.67887217,17.14187313,22.08173761
1546531200,0,0,5.672453704,1357659.559,18.37915327,17.46374078,13.95521417,17.20318944,18.07748698,17.83299006,18.5398937,17.00673053,21.60651614
1546534800,0,13678751.23,5.15162037,1457859.892,19.43208592,18.99199562,13.91775203,18.83132169,19.23246116,19.15396519,19.5446197,18.756827,21.28686119
1546538400,0,11465498.82,4.573302469,1727507.273,19.49316473,19.0856077,13.88323762,18.93973806,19.28515905,19.30171881,19.57942686,18.87236655,21.02220822
1546542000,0,11509389.26,3.682098765,3524012.411,19.51553803,19.12394257,13.83605947,18.98329651,19.2991175,19.34248669,19.58431655,18.90036428,21.01521444
1546545600,0,11572000.46,2.839891975,3624212.744,19.53143577,19.14520864,13.78616608,19.01095108,19.30763989,19.36807666,19.5852906,18.91875498,20.849043
1546549200,0,11654439.98,2.316743827,3624212.744,19.54399462,19.15966788,13.74460403,19.03157267,19.31301467,19.38627314,19.58412863,18.9320358,20.68085134
1546552800,0,2939109.664,2.005787037,3411047.712,18.65555179,17.8883548,13.70991351,17.69112914,18.17922076,19.39951424,18.61568123,17.32757146,20.52222976
1546556400,0,207951.1233,1.452160494,156814.0642,18.06665788,17.3846574,13.66661999,17.2503368,17.94728146,18.15819171,18.29389433,16.90020142,20.12598568
1546560000,0,277268.1644,1.454089506,56613.73109,17.9153068,17.25829602,13.6333618,17.13742215,17.87345186,17.79503916,18.20216083,16.78740069,19.94081201
1546563600,0,277268.1644,1.168209877,56613.73109,17.82669973,17.17146574,13.60102847,17.05693895,17.81371046,17.6973634,18.13123197,16.69871745,19.79687207
1546567200,0,277268.1644,0.732638889,56613.73109,17.73688393,17.08363195,13.56073408,16.97929761,17.75210802,17.60686918,18.05313954,16.60692232,19.63638703
1546570800,0,277268.1644,0.688657407,56613.73109,17.67299262,17.01714751,13.53212352,16.91953853,17.70339112,17.5432827,17.99484715,16.5338655,19.48871031
1546574400,0,277268.1644,0.40007716,56613.73109,17.60780587,16.95324265,13.49626876,16.86065524,17.65699839,17.48101333,17.93615624,16.46369372,19.3566483
1546578000,0,4043339.415,0.092592593,56613.73109,17.5450451,16.89434831,13.45993747,16.80544393,17.61494907,18.99550863,17.88017751,16.39840141,19.24148135
1546581600,0,19450611.83,0.09066358,56613.73109,19.19141931,18.80366442,13.43633542,18.71196622,19.07844366,19.23892275,19.30261612,18.5442283,19.95150701
1546585200,0,18030290.3,0.546682099,2154928.582,19.32699231,18.9750239,13.42686632,18.87174642,19.20060489,19.29022423,19.43279096,18.74623231,20.12308102
1546588800,0,5473683.241,1.561728395,2072339.448,18.06410377,17.66321904,13.44188913,17.46255553,18.19739162,19.32900882,18.6561672,17.17852585,20.67018602
1546592400,0,5308156.897,2.883487654,1871940.502,17.79425279,17.46478915,13.48588974,17.23790922,18.16471937,19.35702024,18.61715025,16.95405461,21.74029049
1546596000,0,0,4.101080247,56613.73109,17.83826344,17.32134213,13.53718814,17.08006425,18.15433188,18.17435088,18.63134321,16.94550016,22.51990212
1546599600,0,0,5.108410494,56613.73109,17.89535952,17.3185406,13.58160186,17.05057439,18.07614389,17.89887166,18.7088896,16.90883121,23.20143296
1546603200,0,11071725.08,5.945601852,56613.73109,19.32056503,18.97839638,13.61758734,18.78004382,19.24308984,17.87250574,19.69205176,18.74064227,23.65606099
1546606800,0,9275202.766,6.19367284,56613.73109,19.4351559,19.11752519,13.63555095,18.90804104,19.29395107,17.84368539,19.71917114,18.86502987,23.6844982
1546610400,0,0,5.897762346,56613.73109,18.40538112,17.83411661,13.622766,17.48144278,18.2300395,17.79100315,18.84157724,17.33739098,22.93189348
1546614000,0,0,5.27662037,56613.73109,17.99724419,17.40034036,13.58620578,17.12742293,17.98528339,17.7174674,18.47637357,16.90025506,21.9144941
1546617600,0,0,4.269675926,1357659.559,18.12256513,17.24150471,13.53164229,17.00882552,17.87878002,17.63050068,18.30923724,16.74828356,21.30327164
